iter	RMSE
150	9699.360226
151	9652.175826
152	9588.317102
153	9576.08604
154	9533.851572
155	9528.093225
156	9519.533894
157	9487.175681
158	9480.545924
159	9459.050877
160	9445.488052
161	9431.160813
162	9410.945701
163	9374.115388
164	9368.065433
165	9356.497746
166	9341.031492
167	9334.844332
168	9320.063693
169	9307.193044
170	9233.493656
171	9226.650223
172	9208.940121
173	9168.835443
174	9120.844849
175	9111.825333
176	9104.022344
177	9093.412968
178	9086.044355
179	9080.83897
180	9027.711289
181	9019.924767
182	9013.233805
183	9005.050613
184	8992.887659
185	8981.803786
186	8971.953084
187	8966.313261
188	8958.615719
189	8950.513051
190	8943.74496
191	8935.875003
192	8930.980886
193	8900.770724
194	8892.242501
195	8871.720502
196	8866.07993
197	8861.728734
198	8855.46541
199	8851.748761
200	8848.504317
201	8843.961383
202	8837.598289
203	8830.662551
204	8827.215823
205	8780.208513
206	8774.806876
207	8769.220797
208	8724.612557
209	8721.23637
210	8688.866228
211	8678.975592
212	8677.072463
213	8673.840557
214	8654.149619
215	8648.404527
216	8619.481534
217	8608.86736
218	8608.351238
219	8605.296722
220	8603.431645
221	8599.805276
222	8596.672236
223	8592.465592
224	8588.835524
225	8582.937165
226	8580.001113
227	8577.639546
228	8575.494789
229	8570.539491
230	8567.393579
231	8558.859153
232	8550.770029
233	8546.740196
234	8543.969259
235	8539.766327
236	8536.1562
237	8516.791465
238	8514.683049
239	8496.248998
240	8493.989137
241	8481.74774
242	8477.898948
243	8475.594122
244	8458.101736
245	8456.637245
246	8452.973117
247	8450.898955
248	8444.289835
249	8429.283372
250	8426.061709
251	8391.032153
252	8388.144713
253	8386.903192
254	8374.075615
255	8371.889877
256	8366.729482
257	8364.748051
258	8361.317173
259	8317.525556
260	8313.160803
261	8305.693716
262	8303.43843
263	8300.018478
264	8240.36766
265	8236.018358
266	8232.898873
267	8223.332343
268	8219.272751
269	8216.746654
270	8157.666375
271	8099.289447
272	8041.556086
273	8029.670917
274	8027.314862
275	8024.437428
276	7967.439947
277	7964.692667
278	7961.920865
279	7941.002652
280	7940.17366
281	7931.327947
282	7875.248968
283	7838.90807
284	7825.201103
285	7822.768089
286	7817.947931
287	7763.039922
288	7758.449631
289	7748.232532
290	7741.941008
291	7687.732508
292	7634.171823
293	7603.821448
294	7599.934204
295	7592.093002
296	7539.496883
297	7487.532409
298	7456.383913
299	7452.542221
300	7448.942987
301	7445.219131
302	7443.806367
303	7437.482816
304	7431.469723
305	7429.244662
306	7423.325902
307	7420.052218
308	7416.517454
309	7415.52953
310	7413.176483
311	7411.993183
312	7378.916932
313	7373.14553
314	7371.999145
315	7367.592894
316	7366.683505
317	7361.941024
318	7329.671762
319	7328.788876
320	7323.281231
321	7322.600025
322	7318.070994
323	7317.408385
324	7313.058471
325	7311.547141
326	7306.163596
327	7301.086164
328	7297.095366
329	7291.615329
330	7290.992942
331	7256.413999
332	7251.358224
333	7217.679025
334	7212.661201
335	7212.070777
336	7178.643797
337	7164.082802
338	7163.305414
339	7136.385521
340	7103.8582
341	7072.194305
342	7044.118115
343	7043.52825
344	7030.040494
345	7028.692353
346	7014.080207
347	7006.547513
348	6993.99574
349	6993.430945
350	6992.703854
351	6961.731456
352	6956.676937
353	6944.884207
354	6933.045349
355	6883.312477
356	6853.274744
357	6848.673706
358	6819.055901
359	6815.334408
360	6811.281895
361	6800.145156
362	6795.846406
363	6766.446683
364	6762.65782
365	6759.655067
366	6749.064581
367	6731.81414
368	6728.60908
369	6725.512709
370	6696.858743
371	6668.902189
372	6664.076295
373	6660.908001
374	6656.888783
375	6634.577538
376	6607.871059
377	6579.180151
378	6549.669912
379	6546.06867
380	6500.121272
381	6495.792646
382	6473.127431
383	6451.343178
384	6449.213818
385	6447.282662
386	6445.519138
387	6442.138977
388	6439.306899
389	6432.045666
390	6404.976774
391	6403.339983
392	6382.198756
393	6369.897649
394	6361.459169
395	6359.501862
396	6358.954862
397	6357.307788
398	6330.904699
399	6328.975091
400	6321.272508
401	6319.719855
402	6304.534136
403	6280.264815
404	6277.102243
405	6275.451137
406	6250.13535
407	6247.150153
408	6233.877121
409	6210.593088
410	6207.324981
411	6205.873544
412	6203.058695
413	6196.557147
414	6193.72848
415	6190.980147
416	6176.568996
417	6173.854722
418	6156.823003
419	6154.550917
420	6125.611743
421	6101.011346
422	6078.977169
423	6076.095314
424	6067.121124
425	6064.622952
426	6062.017616
427	6020.721648
428	6018.895812
429	6015.825134
430	6013.388113
431	6010.428029
432	6008.761231
433	5967.95756
434	5947.113425
435	5924.469042
436	5908.818324
437	5891.148425
438	5889.398335
439	5886.041457
440	5884.43635
441	5845.218575
442	5834.673992
443	5833.097508
444	5816.308371
445	5796.955259
446	5789.886532
447	5788.744773
448	5763.47026
449	5761.328569
450	5759.652955
451	5757.049924
452	5741.521354
453	5729.981744
454	5727.599988
455	5722.613494
456	5707.159394
457	5692.448089
458	5690.289537
459	5675.691295
460	5667.597048
461	5664.989571
462	5659.975121
463	5657.955413
464	5643.940871
465	5619.851335
466	5606.653348
467	5593.374637
468	5591.290763
469	5567.991033
470	5565.118863
471	5528.624376
472	5506.204088
473	5493.287786
474	5470.648135
475	5448.712167
476	5436.066264
477	5419.073103
478	5402.789893
479	5381.748715
480	5361.359144
481	5341.683097
482	5339.006264
483	5336.50669
484	5334.515227
485	5301.405006
486	5298.357865
487	5295.496172
488	5276.081664
489	5264.499163
490	5232.430601
491	5229.499294
492	5227.3179
493	5190.937203
494	5176.839087
495	5171.600605
496	5165.324274
497	5153.82152
498	5151.555342
499	5118.552659
500	5105.063537
501	5093.981337
502	5076.498033
503	5044.054145
504	5031.200817
505	5030.148785
506	5028.337301
507	4999.0636
508	4988.450757
509	4983.52125
510	4975.005914
511	4965.758672
512	4964.682699
513	4963.705988
514	4962.926122
515	4961.228903
516	4952.155242
517	4949.44285
518	4942.228835
519	4941.331211
520	4940.458225
521	4936.19814
522	4934.044099
523	4932.897273
524	4932.07833
525	4919.958355
526	4918.694901
527	4916.108905
528	4915.316817
529	4908.712526
530	4907.750799
531	4906.891091
532	4878.464029
533	4862.696542
534	4861.649029
535	4860.802884
536	4859.504931
537	4858.252966
538	4856.938147
539	4855.834585
540	4855.06472
541	4854.016327
542	4853.012988
543	4851.889526
544	4851.043278
545	4849.956215
546	4848.91441
547	4847.919595
548	4836.420671
549	4830.283195
550	4802.415112
551	4796.326602
552	4795.364722
553	4794.460522
554	4788.796903
555	4777.695669
556	4775.934445
557	4775.271368
558	4747.90204
559	4720.962732
560	4715.249517
561	4704.022643
562	4702.537246
563	4700.36708
564	4683.7384
565	4673.802901
566	4673.173049
567	4646.51082
568	4644.535091
569	4643.733255
570	4643.021716
571	4617.087669
572	4591.56131
573	4590.63451
574	4585.455345
575	4584.571237
576	4581.665552
577	4579.937435
578	4574.118975
579	4549.229096
580	4548.919688
581	4539.367701
582	4537.71653
583	4535.887548
584	4534.528302
585	4529.108414
586	4523.905038
587	4523.096902
588	4521.561402
589	4516.759298
590	4515.58426
591	4513.831582
592	4508.996369
593	4504.539468
594	4503.264701
595	4486.194589
596	4485.895737
597	4484.314412
598	4459.859415
599	4450.525998
600	4448.904017
601	4439.994209
602	4413.312025
603	4410.697151
604	4386.805431
605	4363.472198
606	4354.774618
607	4347.481592
608	4345.96678
609	4340.45029
610	4335.920334
611	4334.460668
612	4333.084016
613	4328.695658
614	4314.37756
615	4314.109316
616	4309.879093
617	4309.616784
618	4308.536613
619	4307.307122
620	4303.249142
621	4301.708409
622	4298.515041
623	4296.814292
624	4273.839292
625	4267.655963
626	4266.174803
627	4265.507492
628	4259.895388
629	4254.934083
630	4250.797538
631	4237.285146
632	4235.094201
633	4233.943032
634	4221.061366
635	4218.104924
636	4217.86301
637	4216.321394
638	4204.088756
639	4200.613934
640	4200.381083
641	4190.88546
642	4189.534224
643	4189.050482
644	4188.840436
645	4184.936587
646	4175.937833
647	4171.498001
648	4167.838143
649	4165.632842
650	4164.106321
651	4162.923396
652	4160.057581
653	4158.74891
654	4134.182321
655	4133.585354
656	4109.369112
657	4098.504553
658	4074.716645
659	4051.95941
660	4051.384291
661	4049.469778
662	4044.958639
663	4043.620707
664	4043.079898
665	4038.04139
666	4033.392449
667	4029.373362
668	4024.494261
669	4023.961597
670	4022.68634
671	4021.459838
672	4020.438137
673	4012.168533
674	4009.946989
675	4008.87748
676	4008.053207
677	4007.426907
678	4006.822524
679	4006.172946
680	4002.501432
681	4000.090861
682	3999.162333
683	3998.479529
684	3995.830131
685	3994.516248
686	3992.496364
687	3991.834814
688	3989.564657
689	3989.069928
690	3986.931018
691	3986.458227
692	3985.300714
693	3983.243943
694	3974.594814
695	3974.232279
696	3964.702955
697	3964.222849
698	3955.977641
699	3954.904716
700	3945.828927
701	3944.658168
702	3942.498405
703	3942.062622
704	3937.926123
705	3936.469199
706	3934.845918
707	3930.938659
708	3927.9662
709	3926.594294
710	3924.767133
711	3921.055556
712	3919.752988
713	3918.513206
714	3917.591503
715	3915.581746
716	3905.859781
717	3904.684418
718	3903.037258
719	3901.922283
720	3900.971251
721	3900.000026
722	3898.306093
723	3895.293735
724	3893.577093
725	3890.097396
726	3882.412674
727	3872.404082
728	3871.388014
729	3870.653954
730	3847.88379
731	3842.49378
732	3840.914028
733	3839.090489
734	3838.061029
735	3837.092549
736	3835.350439
737	3834.458081
738	3833.836811
739	3832.292186
740	3824.471199
741	3822.938604
742	3821.311405
743	3811.878546
744	3811.583157
745	3804.052001
746	3793.136479
747	3791.486911
748	3790.094856
749	3782.719014
750	3782.157355
751	3760.329134
752	3738.823518
753	3736.438279
754	3736.167861
755	3731.367238
756	3710.177311
757	3689.301349
758	3682.501326
759	3661.952242
760	3641.706221
761	3639.810317
762	3619.855004
763	3618.381988
764	3598.717291
765	3592.677682
766	3586.263216
767	3569.06319
768	3563.324986
769	3561.623389
770	3558.765103
771	3557.062596
772	3555.506378
773	3553.433323
774	3551.810972
775	3549.129468
776	3546.898766
777	3542.213301
778	3541.627674
779	3540.99647
780	3521.976404
781	3515.188095
782	3513.631901
783	3511.667054
784	3492.986942
785	3474.583296
786	3456.433453
787	3440.498395
788	3424.831586
789	3421.904609
790	3416.611642
791	3413.84034
792	3411.750055
793	3410.148347
794	3394.820112
795	3393.280877
796	3388.265732
797	3373.277375
798	3371.769129
799	3370.485865
800	3368.512304
801	3353.757007
802	3352.4078
803	3352.223941
804	3335.496682
805	3330.961259
806	3314.538609
807	3300.471643
808	3299.008407
809	3298.823076
810	3298.643203
811	3297.72466
812	3295.898845
813	3292.316091
814	3289.233778
815	3285.85212
816	3269.903381
817	3269.004469
818	3255.361775
819	3251.143279
820	3249.348147
821	3246.967828
822	3243.80191
823	3243.266592
824	3243.096047
825	3229.60566
826	3229.072188
827	3227.318878
828	3221.51766
829	3219.175004
830	3213.771092
831	3212.357293
832	3211.471296
833	3211.31085
834	3211.154969
835	3211.003474
836	3210.186933
837	3208.828527
838	3203.648962
839	3190.410958
840	3189.579646
841	3188.82692
842	3186.862863
843	3184.143133
844	3177.948399
845	3174.752152
846	3170.910177
847	3155.790591
848	3155.298143
849	3140.406727
850	3125.742956
851	3113.16969
852	3098.90543
853	3096.37981
854	3094.781761
855	3080.7144
856	3076.637485
857	3076.169046
858	3074.029141
859	3072.138004
860	3066.991475
861	3064.740164
862	3063.329004
863	3057.618761
864	3056.298701
865	3050.829882
866	3037.103765
867	3023.590266
868	3010.278434
869	3006.490889
870	2993.422898
871	2981.135104
872	2980.347863
873	2978.114263
874	2977.634156
875	2975.571793
876	2973.365862
877	2971.911453
878	2960.756913
879	2959.927204
880	2957.051471
881	2946.074128
882	2944.964461
883	2943.102141
884	2930.687767
885	2919.087748
886	2917.037838
887	2914.737488
888	2912.731515
889	2902.257175
890	2901.80382
891	2889.589347
892	2887.376252
893	2884.186029
894	2883.379416
895	2881.646176
896	2871.471943
897	2871.072715
898	2869.592163
899	2864.736671
900	2863.22693
901	2861.185347
902	2857.831114
903	2846.241265
904	2836.39804
905	2835.626411
906	2831.860388
907	2831.265095
908	2827.178605
909	2823.685954
910	2819.797558
911	2815.270521
912	2805.711403
913	2795.381069
914	2785.838987
915	2781.392552
916	2780.698691
917	2778.881923
918	2769.78575
919	2766.485728
920	2764.951581
921	2763.676315
922	2762.908062
923	2753.926514
924	2751.444686
925	2741.020072
926	2739.644956
927	2735.8167
928	2732.353754
929	2722.111533
930	2721.600741
931	2721.276799
932	2717.74945
933	2709.2122
934	2706.050869
935	2704.747211
936	2704.213526
937	2703.550222
938	2699.141603
939	2697.956494
940	2696.528944
941	2686.663078
942	2686.018178
943	2682.696909
944	2680.980586
945	2671.922699
946	2670.369995
947	2662.296711
948	2653.540955
949	2653.031358
950	2652.288421
951	2648.212081
952	2638.779386
953	2637.063159
954	2636.498396
955	2628.84106
956	2628.291752
957	2620.766345
958	2614.936791
959	2613.66532
960	2611.67018
961	2610.307806
962	2606.652761
963	2605.50375
964	2603.958766
965	2595.026384
966	2594.108387
967	2592.750672
968	2589.699455
969	2589.105607
970	2587.664462
971	2587.087923
972	2585.603039
973	2582.7835
974	2581.375584
975	2578.639822
976	2569.978186
977	2562.077428
978	2561.074526
979	2560.72212
980	2560.230751
981	2558.378223
982	2557.079909
983	2556.392153
984	2555.01219
985	2554.356663
986	2551.729207
987	2543.940355
988	2543.69488
989	2541.945405
990	2540.27081
991	2536.839933
992	2535.254725
993	2534.775213
994	2531.433446
995	2529.923834
996	2528.470737
997	2527.94037
998	2519.620848
999	2519.011263
